,Name,IP,HRM
726,Mike Soroka,174.2,15.591274397244547
526,Charlie Morton,194.2,16.29763130792997
670,Hyun Jin Ryu,182.2,17.16794731064764
184,Jacob deGrom,204.0,18.441176470588236
302,Sonny Gray,175.1,18.446601941747574
688,Max Scherzer,172.1,18.512492736780942
550,Jake Odorizzi,159.0,19.32075471698113
783,Spencer Turnbull,148.1,20.13504388926401
399,Brad Keller,165.1,20.351302241066023
306,Zack Greinke,208.2,20.677233429394814
110,Walker Buehler,182.1,20.86765513454146
343,Kyle Hendricks,177.0,21.468926553672315
750,Marcus Stroman,184.1,23.56328082563824
455,Kenta Maeda,153.2,23.694516971279374
246,Jack Flaherty,196.1,24.22233554309026
746,Stephen Strasburg,209.0,24.91866028708134
132,Luis Castillo,190.2,25.09989484752892
531,Joe Musgrove,170.1,25.555555555555557
128,Andrew Cashner,150.0,25.586666666666666
287,Lucas Giolito,176.2,25.607264472190693
453,Lance Lynn,208.1,25.631907736665067
301,Jon Gray,150.0,25.713333333333335
173,Zach Davies,159.2,25.879396984924625
157,Gerrit Cole,212.1,25.97831211692598
677,Chris Sale,147.1,26.10469068660775
27,Brett Anderson,176.2,26.106696935300796
491,John Means,155.0,26.116129032258065
590,Michael Pineda,146.0,26.623287671232877
824,Zack Wheeler,196.0,27.612244897959183
50,Homer Bailey,163.1,27.682403433476395
611,Jose Quintana,171.0,27.719298245614034
681,Anibal Sanchez,166.0,27.96385542168675
427,Eric Lauer,149.2,28.01608579088472
259,Max Fried,165.2,28.093220338983052
448,Joey Lucchesi,163.2,28.186274509803923
163,Patrick Corbin,202.0,28.396039603960396
791,Jason Vargas,149.2,28.713136729222523
799,Justin Verlander,223.0,28.896860986547086
769,Julio Teheran,174.2,29.173363949483356
407,Clayton Kershaw,178.1,29.241998877035375
568,James Paxton,150.2,29.553928095872173
763,Noah Syndergaard,197.2,29.574036511156187
293,Marco Gonzales,203.0,30.137931034482758
13,Sandy Alcantara,197.1,30.33992897006596
502,Wade Miley,167.1,30.96947935368043
369,Dakota Hudson,174.2,31.06773823191734
678,Jeff Samardzija,181.1,31.076753175041414
808,Adam Wainwright,171.2,31.483644859813086
73,Jose Berrios,200.1,31.83408295852074
643,Eduardo Rodriguez,203.1,31.90546528803545
79,Shane Bieber,214.1,32.72302662307333
501,Miles Mikolas,184.0,33.016304347826086
282,Kyle Gibson,160.0,33.20625
772,Trent Thornton,154.1,33.6404931862427
111,Madison Bumgarner,207.2,33.88030888030888
541,Aaron Nola,202.1,34.20089064819396
765,Masahiro Tanaka,182.0,34.76923076923077
464,German Marquez,174.0,34.833333333333336
187,Anthony DeSclafani,166.2,34.89771359807461
582,Martin Perez,165.1,34.966686856450636
244,Mike Fiers,184.2,35.66775244299674
476,Steven Matz,160.1,36.25858838226109
172,Yu Darvish,178.2,36.2962962962963
510,Mike Minor,208.1,37.19365689572321
219,Zach Eflin,163.1,37.76824034334764
405,Merrill Kelly,183.1,38.170398689240855
433,Jon Lester,171.2,39.030373831775705
635,Tanner Roark,165.1,39.17625681405209
113,Dylan Bundy,161.2,39.398263027295286
621,Robbie Ray,174.1,40.32165422171166
716,Caleb Smith,153.1,40.522534291312866
66,Trevor Bauer,213.0,42.460093896713616
601,Rick Porcello,174.1,43.268236645605974
544,Ivan Nova,187.0,43.63636363636363
327,J.A. Happ,161.1,44.10924891371819
392,Jakob Junis,175.1,44.2604226156482
93,Matthew Boyd,185.1,48.03889789303079
441,Reynaldo Lopez,184.0,50.97826086956522
429,Mike Leake,197.0,52.86294416243655
409,Yusei Kikuchi,161.2,54.71464019851117
