,Name,HRM,HR,IP,HRM*HR
0,Shane Bieber,1.5040442563178436,9,79.0,13.536398306860592
1,Tyler Glasnow,1.3745919362360706,10,77.0,13.745919362360706
2,Trevor Bauer,1.3883572567783042,13,76.1,18.048644338117956
3,Gerrit Cole,1.3972801412476783,6,75.2,8.383680847486069
4,Zack Wheeler,1.3599640933572807,6,75.0,8.159784560143684
5,Chris Bassitt,1.5161683953630307,6,74.0,9.097010372178184
6,Aaron Civale,1.3873527387555158,10,74.0,13.873527387555157
7,Zack Greinke,1.450318073605736,9,73.2,13.052862662451624
8,Yu Darvish,1.4697380307136545,7,72.0,10.28816621499558
9,Brandon Woodruff,1.3589494163424078,3,71.0,4.076848249027224
10,Sandy Alcantara,1.4502052403421954,8,71.0,11.601641922737564
11,Kevin Gausman,1.4106280193236724,4,70.2,5.64251207729469
12,John Means,1.3229571984435768,11,70.1,14.552529182879345
13,Clayton Kershaw,1.4696043228424998,8,70.1,11.756834582739998
14,Aaron Nola,1.5824613753705488,8,70.1,12.65969100296439
15,Walker Buehler,1.4858490566037548,11,70.1,16.344339622641304
16,Sean Manaea,1.4369884536685196,7,69.2,10.058919175679637
17,Max Scherzer,1.3992571959145672,11,69.1,15.39182915506024
18,Zach Eflin,1.4261839031641508,9,68.0,12.835655128477358
19,Julio Urias,1.3668763102725512,8,67.1,10.93501048218041
20,Pablo Lopez,1.4825222755311889,7,67.0,10.377655928718323
21,Adam Wainwright,1.5486184796910278,11,66.2,17.034803276601306
22,Anthony DeSclafani,1.503475670307851,8,66.2,12.027805362462807
23,Mike Foltynewicz,1.5368213304438798,13,66.1,19.97867729577044
24,Ryan Yarbrough,1.4771371769383568,10,66.0,14.771371769383567
25,German Marquez,1.6553067185978576,6,65.1,9.931840311587145
26,Casey Mize,1.5336683417085333,10,64.2,15.336683417085332
27,Marcus Stroman,1.4608050847457619,7,64.2,10.225635593220334
28,Jose Berrios,1.526367187499992,7,64.1,10.684570312499943
29,Merrill Kelly,1.486545500754707,9,64.1,13.378909506792363
30,Cole Irvin,1.5834207764952755,7,63.1,11.083945435466928
31,Austin Gomber,1.5054835493519514,9,63.1,13.549351944167562
32,Trevor Rogers,1.5837213722322514,3,62.2,4.751164116696755
33,Lucas Giolito,1.463154412372849,10,62.2,14.63154412372849
34,Yusei Kikuchi,1.3902439024390216,11,62.2,15.292682926829238
35,Kyle Hendricks,1.5626848742299158,6,62.1,9.376109245379494
36,Jack Flaherty,1.5430954587581094,7,62.0,10.801668211306765
37,Tyler Anderson,1.4880318461458892,10,61.2,14.880318461458891
38,Jordan Lyles,1.62299999999999,11,61.0,17.85299999999989
39,Joe Musgrove,1.5311510031678872,6,60.2,9.186906019007324
40,Nathan Eovaldi,1.5558912386707018,1,60.2,1.5558912386707018
41,Jon Gray,1.5243175869375667,6,60.2,9.1459055216254
42,Kyle Gibson,1.480431602048272,3,60.1,4.441294806144816
43,Garrett Richards,1.6163967611336005,5,60.0,8.081983805668003
44,Mike Minor,1.459553522597325,8,60.0,11.6764281807786
45,Steven Matz,1.4947663177545196,7,59.2,10.463364224281637
46,Nick Pivetta,1.544938505203412,4,59.2,6.179754020813648
47,Dallas Keuchel,1.4959890383657233,8,59.2,11.967912306925786
48,Madison Bumgarner,1.4608819345661486,10,59.2,14.608819345661486
