,Name,IP,HRM,ERA
365,Brad Keller,54.2,1.9926199261992619,2.47
99,Corbin Burnes,59.2,1.9932432432432432,2.11
224,Max Fried,56.0,2.107142857142857,2.25
374,Dallas Keuchel,63.1,2.1236133122028527,1.99
626,Justus Sheffield,55.1,2.540834845735027,3.58
696,Spencer Turnbull,56.2,2.6334519572953736,3.97
730,Zack Wheeler,71.0,3.380281690140845,2.92
398,Dinelson Lamet,69.0,3.9130434782608696,2.09
157,Yu Darvish,76.0,4.473684210526316,2.01
415,Pablo Lopez,57.1,4.483362521891419,3.61
272,Sonny Gray,56.0,4.571428571428571,3.7
96,Dylan Bundy,65.2,4.831288343558282,3.29
545,Zach Plesac,55.1,5.226860254083484,2.28
703,Framber Valdez,70.2,5.27065527065527,3.57
699,Julio Urias,55.0,5.2727272727272725,3.27
451,Lance McCullers Jr.,55.0,5.363636363636363,3.93
64,Shane Bieber,77.1,5.447470817120623,1.63
755,Ryan Yarbrough,55.2,5.525362318840579,3.56
428,Kenta Maeda,66.2,5.574018126888217,2.7
373,Clayton Kershaw,58.1,5.645438898450947,2.16
113,Luis Castillo,70.0,5.785714285714286,3.21
166,Jacob deGrom,68.0,5.970588235294118,2.38
723,Logan Webb,54.1,5.98890942698706,5.47
50,Trevor Bauer,73.0,6.041095890410959,1.73
275,Zack Greinke,67.0,6.268656716417911,4.03
601,Hyun Jin Ryu,67.0,6.358208955223881,2.69
49,Chris Bassitt,63.0,6.380952380952381,2.29
25,Tyler Anderson,59.2,6.587837837837838,4.37
261,Marco Gonzales,69.2,6.705202312138728,3.1
552,Rick Porcello,59.0,7.11864406779661,5.64
436,German Marquez,81.2,7.167487684729064,3.75
254,Lucas Giolito,72.1,7.434119278779473,3.48
431,Sean Manaea,54.0,7.518518518518518,4.5
245,Kevin Gausman,59.2,7.837837837837838,3.62
747,Brandon Woodruff,73.2,7.868852459016393,3.05
719,Taijuan Walker,53.1,8.135593220338983,2.7
716,Adam Wainwright,65.2,8.282208588957054,3.15
445,Dustin May,56.0,8.357142857142858,2.57
631,Brady Singer,64.1,8.361934477379096,4.06
160,Zach Davies,69.2,8.453757225433526,2.71
503,Aaron Nola,71.1,8.607594936708862,3.28
107,Carlos Carrasco,68.0,8.705882352941176,2.91
349,Cristian Javier,54.1,8.743068391866913,3.48
311,Kyle Hendricks,81.1,8.75462392108508,2.88
231,Zac Gallen,72.0,8.875,2.75
189,Zach Eflin,59.2,9.054054054054054,3.92
135,Alex Cobb,52.1,9.520153550863723,4.3
59,Jose Berrios,63.0,9.523809523809524,4.0
535,Martin Perez,62.0,9.67741935483871,4.5
106,Griffin Canning,56.1,9.83957219251337,3.99
620,Antonio Senzatela,73.1,9.84952120383037,3.44
305,Andrew Heaney,66.2,9.924471299093655,4.46
424,Jesus Luzardo,59.0,10.067796610169491,4.12
256,Tyler Glasnow,57.1,10.402802101576182,4.08
138,Gerrit Cole,73.0,10.73972602739726,2.84
335,Adrian Houser,56.0,10.857142857142858,5.3
209,Mike Fiers,59.0,10.983050847457626,4.58
153,Johnny Cueto,63.1,11.125198098256735,5.4
476,Mike Minor,56.2,11.548042704626335,5.56
184,Danny Duffy,56.1,11.58645276292335,4.95
222,Kyle Freeland,70.2,11.666666666666666,4.33
426,Lance Lynn,84.0,11.761904761904763,3.32
473,Alec Mills,62.1,12.351046698872786,4.48
613,Max Scherzer,67.1,12.369597615499256,3.74
404,Jon Lester,61.0,12.62295081967213,5.16
128,Aaron Civale,74.0,12.932432432432432,4.74
480,Frankie Montas,53.0,13.20754716981132,5.6
515,Chris Paddack,59.0,13.76271186440678,4.73
142,Patrick Corbin,65.2,14.263803680981594,4.66
116,Dylan Cease,58.1,14.87091222030981,4.01
605,Anibal Sanchez,53.0,15.981132075471699,6.62
250,Kyle Gibson,67.1,16.274217585693,5.35
425,Jordan Lyles,57.2,16.363636363636363,7.02
74,Matthew Boyd,60.1,18.469217970049915,6.71
738,Trevor Williams,55.1,19.600725952813068,6.18
